bench,class,latency_preserving,primary_metric,tool,variant,mode,fmax_mhz,fmax_is_lower_bound,min_period_ns,n_runs,n_met,cells_at_fmax,seq_at_fmax,area_at_fmax_um2,wirelength_um,power_mw,compile_seconds_at_fmax
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,genus,orig,off,166.7,,6.0,9,3,2526,96,117890.355866,,136.765,44.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,genus,orig,on,333.3,,3.0,9,7,2359,240,120409.38609375,,289.688,76.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,genus,retimed,off,208.3,,4.8,9,4,3283,112,146535.351532,,182.583,71.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,openroad,orig,,,,,1,0,3050,96,71186.573,155803.2,131.077,20.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,openroad_syn,directive,unsupported,,,,5,0,1672,96,,,203.0,2.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,openroad_syn,orig,unsupported,,,,5,0,1672,96,,,203.0,2.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,openroad_syn,retimed,unsupported,,,,5,0,1735,112,,,158.238,2.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,vivado,directive,on,125.0,,8.0,5,3,17,33,,,133.0,47.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,vivado,orig,off,104.2,yes,9.6,2,2,17,33,,,126.0,43.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,vivado,orig,on,125.0,,8.0,4,2,17,33,,,133.0,92.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,vivado,retimed,off,104.2,,9.6,5,2,17,35,,,127.0,43.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,yosys,directive,off,,,,1,0,1911,96,45776.5056,,122.0,3.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,yosys,directive,on,128.2,,7.8,5,1,2007,96,70057.6128,,79.10000000000001,2.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,yosys,orig,off,,,,5,0,1911,96,45776.5056,,261.0,2.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,yosys,orig,on,128.2,,7.8,5,1,2007,96,70057.6128,,79.10000000000001,3.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,yosys,retimed,off,,,,5,0,1906,112,47204.64,,183.0,2.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,yosys,retimed,on,166.7,yes,6.0,1,1,2018,112,68189.184,,81.0,3.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,genus,directive,off,370.4,,2.7,9,5,560,139,39550.067401,,116.552,21.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,genus,orig,off,208.3,,4.8,5,3,625,64,37674.9987635,,54.8255,18.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,genus,orig,on,370.4,,2.7,9,5,560,139,39550.067401,,116.552,21.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,genus,retimed,off,277.8,,3.6,5,4,1529,96,71899.25971025,,125.671,35.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,openroad_syn,directive,unsupported,,,,5,0,806,64,,,74.9345,1.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,openroad_syn,orig,unsupported,,,,5,0,806,64,,,74.9345,2.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,openroad_syn,retimed,unsupported,,,,5,0,922,96,,,65.92530000000001,1.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,vivado,directive,on,125.0,,8.0,5,3,140,64,,,137.0,38.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,vivado,orig,off,125.0,,8.0,5,3,140,64,,,137.0,36.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,vivado,orig,on,125.0,,8.0,5,3,140,64,,,137.0,38.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,vivado,retimed,off,125.0,,8.0,5,3,142,96,,,140.0,71.0
